{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.99895, 'Test Accuracy': 0.9988, 'Linear (S) Randomized Accuracy': 0.6242, 'Slab (S^c) Randomzied Accuracy': 0.8842}}{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.953175, 'Test Accuracy': 0.9503, 'Linear (S) Randomized Accuracy': 0.5063, 'Slab (S^c) Randomzied Accuracy': 0.9499}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.950825, 'Test Accuracy': 0.9508, 'Linear (S) Randomized Accuracy': 0.4968, 'Slab (S^c) Randomzied Accuracy': 0.9523}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.9986, 'Test Accuracy': 0.999, 'Linear (S) Randomized Accuracy': 0.6083, 'Slab (S^c) Randomzied Accuracy': 0.8943}}
{'input': {'num_train': 40000, 'dim': 2, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 0, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 1.0, 'Test Accuracy': 1.0, 'Linear (S) Randomized Accuracy': 0.6222, 'Slab (S^c) Randomzied Accuracy': 0.8789}}
{'input': {'num_train': 40000, 'dim': 3, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 1, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 1.0, 'Test Accuracy': 1.0, 'Linear (S) Randomized Accuracy': 0.6367, 'Slab (S^c) Randomzied Accuracy': 0.8631}}
{'input': {'num_train': 40000, 'dim': 4, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 2, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.999975, 'Test Accuracy': 1.0, 'Linear (S) Randomized Accuracy': 0.6347, 'Slab (S^c) Randomzied Accuracy': 0.8609}}
{'input': {'num_train': 40000, 'dim': 5, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 3, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.999975, 'Test Accuracy': 1.0, 'Linear (S) Randomized Accuracy': 0.6584, 'Slab (S^c) Randomzied Accuracy': 0.8478}}
{'input': {'num_train': 40000, 'dim': 6, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 4, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.999525, 'Test Accuracy': 0.9992, 'Linear (S) Randomized Accuracy': 0.6344, 'Slab (S^c) Randomzied Accuracy': 0.8624}}
{'input': {'num_train': 40000, 'dim': 7, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 5, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.99695, 'Test Accuracy': 0.9964, 'Linear (S) Randomized Accuracy': 0.5938, 'Slab (S^c) Randomzied Accuracy': 0.9029}}
{'input': {'num_train': 40000, 'dim': 8, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 6, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.99995, 'Test Accuracy': 1.0, 'Linear (S) Randomized Accuracy': 0.6326, 'Slab (S^c) Randomzied Accuracy': 0.8627}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.996975, 'Test Accuracy': 0.9963, 'Linear (S) Randomized Accuracy': 0.6304, 'Slab (S^c) Randomzied Accuracy': 0.8634}}
{'input': {'num_train': 40000, 'dim': 10, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 8, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.951875, 'Test Accuracy': 0.9549, 'Linear (S) Randomized Accuracy': 0.4922, 'Slab (S^c) Randomzied Accuracy': 0.9506}}
{'input': {'num_train': 40000, 'dim': 11, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 9, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.951525, 'Test Accuracy': 0.9496, 'Linear (S) Randomized Accuracy': 0.4956, 'Slab (S^c) Randomzied Accuracy': 0.948}}
{'input': {'num_train': 40000, 'dim': 12, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 10, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.955075, 'Test Accuracy': 0.9511, 'Linear (S) Randomized Accuracy': 0.4947, 'Slab (S^c) Randomzied Accuracy': 0.9496}}
{'input': {'num_train': 40000, 'dim': 13, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 11, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.955975, 'Test Accuracy': 0.9487, 'Linear (S) Randomized Accuracy': 0.5003, 'Slab (S^c) Randomzied Accuracy': 0.9486}}
{'input': {'num_train': 40000, 'dim': 14, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 12, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.9579, 'Test Accuracy': 0.9533, 'Linear (S) Randomized Accuracy': 0.4999, 'Slab (S^c) Randomzied Accuracy': 0.9507}}
{'input': {'num_train': 40000, 'dim': 15, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 13, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.9622, 'Test Accuracy': 0.95, 'Linear (S) Randomized Accuracy': 0.505, 'Slab (S^c) Randomzied Accuracy': 0.9447}}
{'input': {'num_train': 40000, 'dim': 16, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 14, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.9725, 'Test Accuracy': 0.9536, 'Linear (S) Randomized Accuracy': 0.4948, 'Slab (S^c) Randomzied Accuracy': 0.9513}}
{'input': {'num_train': 40000, 'dim': 18, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 0, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.999975, 'Test Accuracy': 1.0, 'Linear (S) Randomized Accuracy': 0.6499, 'Slab (S^c) Randomzied Accuracy': 0.8478}}
{'input': {'num_train': 40000, 'dim': 19, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 0, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.99935, 'Test Accuracy': 0.9992, 'Linear (S) Randomized Accuracy': 0.6089, 'Slab (S^c) Randomzied Accuracy': 0.8899}}
{'input': {'num_train': 40000, 'dim': 20, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 0, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 1.0, 'Test Accuracy': 1.0, 'Linear (S) Randomized Accuracy': 0.643, 'Slab (S^c) Randomzied Accuracy': 0.8645}}
{'input': {'num_train': 40000, 'dim': 21, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 0, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.9971, 'Test Accuracy': 0.9972, 'Linear (S) Randomized Accuracy': 0.5987, 'Slab (S^c) Randomzied Accuracy': 0.9009}}
{'input': {'num_train': 40000, 'dim': 22, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 0, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 1.0, 'Test Accuracy': 1.0, 'Linear (S) Randomized Accuracy': 0.6454, 'Slab (S^c) Randomzied Accuracy': 0.8517}}
{'input': {'num_train': 40000, 'dim': 23, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 0, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 1.0, 'Test Accuracy': 1.0, 'Linear (S) Randomized Accuracy': 0.6475, 'Slab (S^c) Randomzied Accuracy': 0.8483}}
